trajectory_id,items
765,distance_geometry_1_1=medium;distance_geometry_2_1=low;distance_geometry_2_2=low;distance_geometry_3_1=low;distance_geometry_3_2=low;distance_geometry_3_3=low;distance_geometry_4_1=medium;distance_geometry_4_2=medium;distance_geometry_4_3=low;distance_geometry_4_4=low;distance_geometry_5_1=medium;distance_geometry_5_2=high;distance_geometry_5_3=high;distance_geometry_5_4=high;distance_geometry_5_5=high;angles_mean=medium;angles_meanse=medium;angles_quant_min=medium;angles_quant_05=low;angles_quant_10=low;angles_quant_25=medium;angles_quant_median=low;angles_quant_75=low;angles_quant_90=medium;angles_quant_95=medium;angles_quant_max=high;angles_range=high;angles_sd=medium;angles_vcoef=medium;angles_mad=low;angles_iqr=medium;angles_skew=medium;angles_kurt=medium;speed_mean=high;speed_meanse=high;speed_quant_min=medium;speed_quant_05=medium;speed_quant_10=medium;speed_quant_25=medium;speed_quant_median=medium;speed_quant_75=medium;speed_quant_90=high;speed_quant_95=high;speed_quant_max=high;speed_range=high;speed_sd=high;speed_vcoef=high;speed_mad=medium;speed_iqr=medium;speed_skew=high;speed_kurt=high;acceleration_mean=medium;acceleration_meanse=high;acceleration_quant_min=low;acceleration_quant_05=low;acceleration_quant_10=low;acceleration_quant_25=high;acceleration_quant_median=high;acceleration_quant_75=medium;acceleration_quant_90=medium;acceleration_quant_95=high;acceleration_quant_max=high;acceleration_range=high;acceleration_sd=high;acceleration_vcoef=high;acceleration_mad=low;acceleration_iqr=low;acceleration_skew=high;acceleration_kurt=high;duration_total_seconds=medium;sampling_gap_mean_seconds=medium;sampling_gap_sd_seconds=medium;sampling_gap_iqr_seconds=medium;sampling_gap_cv=high;speed_mean_first_half=medium;speed_mean_second_half=high;speed_mean_half_diff=high;acceleration_mean_first_half=low;acceleration_mean_second_half=medium;acceleration_mean_half_diff=medium;bbox_lat_span_deg=high;bbox_lon_span_deg=high;bbox_height_m=high;bbox_width_m=high;bbox_diagonal_m=high;bbox_area_km2=high;path_length_m=high;net_displacement_m=medium;directness_ratio=medium;mean_distance_to_centroid_m=high;median_distance_to_centroid_m=high;max_distance_to_centroid_m=high;radius_of_gyration_m=high;speed_progress_slope=high;acceleration_progress_slope=low;angle_progress_slope=high;relative_grid_unique_cells_3x3=low;relative_grid_entropy_3x3=low;relative_transition_entropy_3x3=low;relative_grid_revisit_ratio_3x3=high
766,distance_geometry_1_1=medium;distance_geometry_2_1=low;distance_geometry_2_2=low;distance_geometry_3_1=medium;distance_geometry_3_2=high;distance_geometry_3_3=high;distance_geometry_4_1=medium;distance_geometry_4_2=high;distance_geometry_4_3=low;distance_geometry_4_4=medium;distance_geometry_5_1=high;distance_geometry_5_2=high;distance_geometry_5_3=high;distance_geometry_5_4=low;distance_geometry_5_5=medium;angles_mean=medium;angles_meanse=high;angles_quant_min=medium;angles_quant_05=medium;angles_quant_10=medium;angles_quant_25=low;angles_quant_median=low;angles_quant_75=high;angles_quant_90=high;angles_quant_95=medium;angles_quant_max=high;angles_range=high;angles_sd=high;angles_vcoef=high;angles_mad=low;angles_iqr=high;angles_skew=medium;angles_kurt=low;speed_mean=low;speed_meanse=low;speed_quant_min=low;speed_quant_05=low;speed_quant_10=low;speed_quant_25=low;speed_quant_median=low;speed_quant_75=low;speed_quant_90=low;speed_quant_95=low;speed_quant_max=low;speed_range=low;speed_sd=low;speed_vcoef=low;speed_mad=low;speed_iqr=low;speed_skew=medium;speed_kurt=medium;acceleration_mean=low;acceleration_meanse=low;acceleration_quant_min=medium;acceleration_quant_05=high;acceleration_quant_10=high;acceleration_quant_25=high;acceleration_quant_median=high;acceleration_quant_75=low;acceleration_quant_90=low;acceleration_quant_95=low;acceleration_quant_max=low;acceleration_range=medium;acceleration_sd=low;acceleration_vcoef=high;acceleration_mad=low;acceleration_iqr=low;acceleration_skew=low;acceleration_kurt=medium;duration_total_seconds=low;sampling_gap_mean_seconds=low;sampling_gap_sd_seconds=high;sampling_gap_iqr_seconds=medium;sampling_gap_cv=high;speed_mean_first_half=low;speed_mean_second_half=low;speed_mean_half_diff=medium;acceleration_mean_first_half=low;acceleration_mean_second_half=medium;acceleration_mean_half_diff=medium;bbox_lat_span_deg=low;bbox_lon_span_deg=low;bbox_height_m=low;bbox_width_m=low;bbox_diagonal_m=low;bbox_area_km2=low;path_length_m=low;net_displacement_m=medium;directness_ratio=medium;mean_distance_to_centroid_m=low;median_distance_to_centroid_m=medium;max_distance_to_centroid_m=low;radius_of_gyration_m=low;speed_progress_slope=medium;acceleration_progress_slope=medium;angle_progress_slope=low;relative_grid_unique_cells_3x3=high;relative_grid_entropy_3x3=high;relative_transition_entropy_3x3=high;relative_grid_revisit_ratio_3x3=low
767,distance_geometry_1_1=medium;distance_geometry_2_1=medium;distance_geometry_2_2=low;distance_geometry_3_1=high;distance_geometry_3_2=low;distance_geometry_3_3=low;distance_geometry_4_1=high;distance_geometry_4_2=high;distance_geometry_4_3=low;distance_geometry_4_4=low;distance_geometry_5_1=medium;distance_geometry_5_2=medium;distance_geometry_5_3=high;distance_geometry_5_4=high;distance_geometry_5_5=high;angles_mean=low;angles_meanse=high;angles_quant_min=low;angles_quant_05=low;angles_quant_10=low;angles_quant_25=low;angles_quant_median=low;angles_quant_75=high;angles_quant_90=high;angles_quant_95=high;angles_quant_max=high;angles_range=high;angles_sd=high;angles_vcoef=high;angles_mad=low;angles_iqr=high;angles_skew=high;angles_kurt=low;speed_mean=low;speed_meanse=low;speed_quant_min=medium;speed_quant_05=medium;speed_quant_10=medium;speed_quant_25=medium;speed_quant_median=low;speed_quant_75=low;speed_quant_90=low;speed_quant_95=low;speed_quant_max=low;speed_range=low;speed_sd=low;speed_vcoef=low;speed_mad=low;speed_iqr=low;speed_skew=low;speed_kurt=low;acceleration_mean=high;acceleration_meanse=low;acceleration_quant_min=high;acceleration_quant_05=high;acceleration_quant_10=high;acceleration_quant_25=medium;acceleration_quant_median=medium;acceleration_quant_75=medium;acceleration_quant_90=low;acceleration_quant_95=low;acceleration_quant_max=low;acceleration_range=low;acceleration_sd=low;acceleration_vcoef=low;acceleration_mad=medium;acceleration_iqr=medium;acceleration_skew=low;acceleration_kurt=low;duration_total_seconds=low;sampling_gap_mean_seconds=low;sampling_gap_sd_seconds=high;sampling_gap_iqr_seconds=medium;sampling_gap_cv=high;speed_mean_first_half=low;speed_mean_second_half=medium;speed_mean_half_diff=high;acceleration_mean_first_half=medium;acceleration_mean_second_half=high;acceleration_mean_half_diff=high;bbox_lat_span_deg=low;bbox_lon_span_deg=medium;bbox_height_m=low;bbox_width_m=medium;bbox_diagonal_m=low;bbox_area_km2=low;path_length_m=low;net_displacement_m=low;directness_ratio=medium;mean_distance_to_centroid_m=low;median_distance_to_centroid_m=low;max_distance_to_centroid_m=low;radius_of_gyration_m=low;speed_progress_slope=high;acceleration_progress_slope=medium;angle_progress_slope=low;relative_grid_unique_cells_3x3=high;relative_grid_entropy_3x3=medium;relative_transition_entropy_3x3=medium;relative_grid_revisit_ratio_3x3=low
768,distance_geometry_1_1=medium;distance_geometry_2_1=low;distance_geometry_2_2=low;distance_geometry_3_1=high;distance_geometry_3_2=high;distance_geometry_3_3=low;distance_geometry_4_1=low;distance_geometry_4_2=medium;distance_geometry_4_3=low;distance_geometry_4_4=medium;distance_geometry_5_1=medium;distance_geometry_5_2=high;distance_geometry_5_3=medium;distance_geometry_5_4=high;distance_geometry_5_5=medium;angles_mean=high;angles_meanse=high;angles_quant_min=low;angles_quant_05=low;angles_quant_10=low;angles_quant_25=low;angles_quant_median=medium;angles_quant_75=high;angles_quant_90=high;angles_quant_95=high;angles_quant_max=low;angles_range=medium;angles_sd=high;angles_vcoef=medium;angles_mad=high;angles_iqr=high;angles_skew=low;angles_kurt=low;speed_mean=low;speed_meanse=low;speed_quant_min=low;speed_quant_05=low;speed_quant_10=low;speed_quant_25=low;speed_quant_median=low;speed_quant_75=low;speed_quant_90=low;speed_quant_95=low;speed_quant_max=low;speed_range=low;speed_sd=low;speed_vcoef=low;speed_mad=low;speed_iqr=low;speed_skew=low;speed_kurt=low;acceleration_mean=low;acceleration_meanse=low;acceleration_quant_min=high;acceleration_quant_05=high;acceleration_quant_10=high;acceleration_quant_25=high;acceleration_quant_median=medium;acceleration_quant_75=low;acceleration_quant_90=low;acceleration_quant_95=low;acceleration_quant_max=low;acceleration_range=low;acceleration_sd=low;acceleration_vcoef=high;acceleration_mad=low;acceleration_iqr=low;acceleration_skew=medium;acceleration_kurt=low;duration_total_seconds=medium;sampling_gap_mean_seconds=medium;sampling_gap_sd_seconds=medium;sampling_gap_iqr_seconds=medium;sampling_gap_cv=medium;speed_mean_first_half=low;speed_mean_second_half=low;speed_mean_half_diff=medium;acceleration_mean_first_half=low;acceleration_mean_second_half=medium;acceleration_mean_half_diff=medium;bbox_lat_span_deg=low;bbox_lon_span_deg=low;bbox_height_m=low;bbox_width_m=low;bbox_diagonal_m=low;bbox_area_km2=low;path_length_m=low;net_displacement_m=medium;directness_ratio=medium;mean_distance_to_centroid_m=low;median_distance_to_centroid_m=low;max_distance_to_centroid_m=low;radius_of_gyration_m=low;speed_progress_slope=medium;acceleration_progress_slope=medium;angle_progress_slope=medium;relative_grid_unique_cells_3x3=medium;relative_grid_entropy_3x3=medium;relative_transition_entropy_3x3=medium;relative_grid_revisit_ratio_3x3=low
769,distance_geometry_1_1=medium;distance_geometry_2_1=low;distance_geometry_2_2=low;distance_geometry_3_1=low;distance_geometry_3_2=high;distance_geometry_3_3=medium;distance_geometry_4_1=low;distance_geometry_4_2=low;distance_geometry_4_3=low;distance_geometry_4_4=medium;distance_geometry_5_1=high;distance_geometry_5_2=medium;distance_geometry_5_3=high;distance_geometry_5_4=medium;distance_geometry_5_5=medium;angles_mean=medium;angles_meanse=medium;angles_quant_min=medium;angles_quant_05=medium;angles_quant_10=medium;angles_quant_25=medium;angles_quant_median=medium;angles_quant_75=high;angles_quant_90=high;angles_quant_95=high;angles_quant_max=medium;angles_range=medium;angles_sd=medium;angles_vcoef=medium;angles_mad=medium;angles_iqr=high;angles_skew=medium;angles_kurt=medium;speed_mean=medium;speed_meanse=medium;speed_quant_min=medium;speed_quant_05=low;speed_quant_10=medium;speed_quant_25=medium;speed_quant_median=low;speed_quant_75=medium;speed_quant_90=medium;speed_quant_95=medium;speed_quant_max=medium;speed_range=medium;speed_sd=medium;speed_vcoef=high;speed_mad=medium;speed_iqr=high;speed_skew=high;speed_kurt=high;acceleration_mean=high;acceleration_meanse=medium;acceleration_quant_min=medium;acceleration_quant_05=medium;acceleration_quant_10=low;acceleration_quant_25=high;acceleration_quant_median=high;acceleration_quant_75=medium;acceleration_quant_90=high;acceleration_quant_95=high;acceleration_quant_max=high;acceleration_range=medium;acceleration_sd=medium;acceleration_vcoef=low;acceleration_mad=low;acceleration_iqr=low;acceleration_skew=high;acceleration_kurt=medium;duration_total_seconds=low;sampling_gap_mean_seconds=low;sampling_gap_sd_seconds=medium;sampling_gap_iqr_seconds=medium;sampling_gap_cv=high;speed_mean_first_half=low;speed_mean_second_half=high;speed_mean_half_diff=high;acceleration_mean_first_half=low;acceleration_mean_second_half=high;acceleration_mean_half_diff=high;bbox_lat_span_deg=high;bbox_lon_span_deg=medium;bbox_height_m=high;bbox_width_m=medium;bbox_diagonal_m=medium;bbox_area_km2=medium;path_length_m=medium;net_displacement_m=medium;directness_ratio=medium;mean_distance_to_centroid_m=medium;median_distance_to_centroid_m=low;max_distance_to_centroid_m=medium;radius_of_gyration_m=medium;speed_progress_slope=high;acceleration_progress_slope=high;angle_progress_slope=low;relative_grid_unique_cells_3x3=low;relative_grid_entropy_3x3=medium;relative_transition_entropy_3x3=medium;relative_grid_revisit_ratio_3x3=high
770,distance_geometry_1_1=high;distance_geometry_2_1=high;distance_geometry_2_2=high;distance_geometry_3_1=high;distance_geometry_3_2=high;distance_geometry_3_3=medium;distance_geometry_4_1=low;distance_geometry_4_2=high;distance_geometry_4_3=high;distance_geometry_4_4=low;distance_geometry_5_1=medium;distance_geometry_5_2=medium;distance_geometry_5_3=medium;distance_geometry_5_4=medium;distance_geometry_5_5=high;angles_mean=medium;angles_meanse=high;angles_quant_min=low;angles_quant_05=medium;angles_quant_10=low;angles_quant_25=medium;angles_quant_median=low;angles_quant_75=medium;angles_quant_90=high;angles_quant_95=high;angles_quant_max=medium;angles_range=high;angles_sd=high;angles_vcoef=high;angles_mad=low;angles_iqr=medium;angles_skew=medium;angles_kurt=medium;speed_mean=medium;speed_meanse=medium;speed_quant_min=medium;speed_quant_05=medium;speed_quant_10=high;speed_quant_25=high;speed_quant_median=high;speed_quant_75=medium;speed_quant_90=medium;speed_quant_95=medium;speed_quant_max=medium;speed_range=medium;speed_sd=medium;speed_vcoef=low;speed_mad=high;speed_iqr=medium;speed_skew=low;speed_kurt=low;acceleration_mean=medium;acceleration_meanse=medium;acceleration_quant_min=medium;acceleration_quant_05=medium;acceleration_quant_10=medium;acceleration_quant_25=medium;acceleration_quant_median=low;acceleration_quant_75=high;acceleration_quant_90=high;acceleration_quant_95=medium;acceleration_quant_max=low;acceleration_range=medium;acceleration_sd=medium;acceleration_vcoef=medium;acceleration_mad=medium;acceleration_iqr=medium;acceleration_skew=medium;acceleration_kurt=low;duration_total_seconds=high;sampling_gap_mean_seconds=high;sampling_gap_sd_seconds=high;sampling_gap_iqr_seconds=medium;sampling_gap_cv=high;speed_mean_first_half=high;speed_mean_second_half=medium;speed_mean_half_diff=low;acceleration_mean_first_half=low;acceleration_mean_second_half=low;acceleration_mean_half_diff=low;bbox_lat_span_deg=medium;bbox_lon_span_deg=medium;bbox_height_m=medium;bbox_width_m=medium;bbox_diagonal_m=medium;bbox_area_km2=medium;path_length_m=medium;net_displacement_m=high;directness_ratio=high;mean_distance_to_centroid_m=medium;median_distance_to_centroid_m=high;max_distance_to_centroid_m=medium;radius_of_gyration_m=medium;speed_progress_slope=low;acceleration_progress_slope=high;angle_progress_slope=low;relative_grid_unique_cells_3x3=high;relative_grid_entropy_3x3=high;relative_transition_entropy_3x3=high;relative_grid_revisit_ratio_3x3=low
771,distance_geometry_1_1=medium;distance_geometry_2_1=medium;distance_geometry_2_2=medium;distance_geometry_3_1=medium;distance_geometry_3_2=low;distance_geometry_3_3=medium;distance_geometry_4_1=low;distance_geometry_4_2=low;distance_geometry_4_3=low;distance_geometry_4_4=medium;distance_geometry_5_1=high;distance_geometry_5_2=high;distance_geometry_5_3=low;distance_geometry_5_4=high;distance_geometry_5_5=medium;angles_mean=low;angles_meanse=medium;angles_quant_min=high;angles_quant_05=high;angles_quant_10=medium;angles_quant_25=medium;angles_quant_median=medium;angles_quant_75=medium;angles_quant_90=low;angles_quant_95=low;angles_quant_max=low;angles_range=low;angles_sd=medium;angles_vcoef=medium;angles_mad=low;angles_iqr=medium;angles_skew=medium;angles_kurt=medium;speed_mean=medium;speed_meanse=low;speed_quant_min=medium;speed_quant_05=high;speed_quant_10=high;speed_quant_25=high;speed_quant_median=high;speed_quant_75=medium;speed_quant_90=medium;speed_quant_95=medium;speed_quant_max=low;speed_range=low;speed_sd=low;speed_vcoef=low;speed_mad=medium;speed_iqr=medium;speed_skew=low;speed_kurt=low;acceleration_mean=medium;acceleration_meanse=low;acceleration_quant_min=medium;acceleration_quant_05=high;acceleration_quant_10=high;acceleration_quant_25=low;acceleration_quant_median=low;acceleration_quant_75=medium;acceleration_quant_90=medium;acceleration_quant_95=low;acceleration_quant_max=low;acceleration_range=low;acceleration_sd=low;acceleration_vcoef=medium;acceleration_mad=medium;acceleration_iqr=medium;acceleration_skew=low;acceleration_kurt=medium;duration_total_seconds=high;sampling_gap_mean_seconds=high;sampling_gap_sd_seconds=low;sampling_gap_iqr_seconds=low;sampling_gap_cv=low;speed_mean_first_half=medium;speed_mean_second_half=medium;speed_mean_half_diff=high;acceleration_mean_first_half=medium;acceleration_mean_second_half=low;acceleration_mean_half_diff=medium;bbox_lat_span_deg=low;bbox_lon_span_deg=medium;bbox_height_m=low;bbox_width_m=medium;bbox_diagonal_m=medium;bbox_area_km2=medium;path_length_m=medium;net_displacement_m=medium;directness_ratio=medium;mean_distance_to_centroid_m=medium;median_distance_to_centroid_m=medium;max_distance_to_centroid_m=medium;radius_of_gyration_m=medium;speed_progress_slope=medium;acceleration_progress_slope=low;angle_progress_slope=medium;relative_grid_unique_cells_3x3=medium;relative_grid_entropy_3x3=medium;relative_transition_entropy_3x3=medium;relative_grid_revisit_ratio_3x3=low
772,distance_geometry_1_1=low;distance_geometry_2_1=medium;distance_geometry_2_2=high;distance_geometry_3_1=low;distance_geometry_3_2=low;distance_geometry_3_3=high;distance_geometry_4_1=medium;distance_geometry_4_2=low;distance_geometry_4_3=high;distance_geometry_4_4=medium;distance_geometry_5_1=high;distance_geometry_5_2=high;distance_geometry_5_3=low;distance_geometry_5_4=low;distance_geometry_5_5=low;angles_mean=medium;angles_meanse=medium;angles_quant_min=high;angles_quant_05=medium;angles_quant_10=medium;angles_quant_25=high;angles_quant_median=medium;angles_quant_75=medium;angles_quant_90=medium;angles_quant_95=high;angles_quant_max=high;angles_range=medium;angles_sd=medium;angles_vcoef=low;angles_mad=medium;angles_iqr=low;angles_skew=medium;angles_kurt=medium;speed_mean=high;speed_meanse=high;speed_quant_min=medium;speed_quant_05=low;speed_quant_10=low;speed_quant_25=low;speed_quant_median=high;speed_quant_75=medium;speed_quant_90=medium;speed_quant_95=high;speed_quant_max=high;speed_range=high;speed_sd=high;speed_vcoef=high;speed_mad=high;speed_iqr=high;speed_skew=high;speed_kurt=high;acceleration_mean=high;acceleration_meanse=high;acceleration_quant_min=low;acceleration_quant_05=medium;acceleration_quant_10=medium;acceleration_quant_25=medium;acceleration_quant_median=medium;acceleration_quant_75=high;acceleration_quant_90=high;acceleration_quant_95=medium;acceleration_quant_max=high;acceleration_range=high;acceleration_sd=high;acceleration_vcoef=medium;acceleration_mad=high;acceleration_iqr=medium;acceleration_skew=low;acceleration_kurt=high;duration_total_seconds=medium;sampling_gap_mean_seconds=medium;sampling_gap_sd_seconds=low;sampling_gap_iqr_seconds=low;sampling_gap_cv=low;speed_mean_first_half=high;speed_mean_second_half=medium;speed_mean_half_diff=low;acceleration_mean_first_half=high;acceleration_mean_second_half=high;acceleration_mean_half_diff=medium;bbox_lat_span_deg=high;bbox_lon_span_deg=high;bbox_height_m=high;bbox_width_m=high;bbox_diagonal_m=high;bbox_area_km2=high;path_length_m=high;net_displacement_m=low;directness_ratio=low;mean_distance_to_centroid_m=high;median_distance_to_centroid_m=medium;max_distance_to_centroid_m=high;radius_of_gyration_m=high;speed_progress_slope=medium;acceleration_progress_slope=medium;angle_progress_slope=low;relative_grid_unique_cells_3x3=low;relative_grid_entropy_3x3=low;relative_transition_entropy_3x3=low;relative_grid_revisit_ratio_3x3=high
773,distance_geometry_1_1=low;distance_geometry_2_1=high;distance_geometry_2_2=medium;distance_geometry_3_1=high;distance_geometry_3_2=low;distance_geometry_3_3=low;distance_geometry_4_1=high;distance_geometry_4_2=high;distance_geometry_4_3=high;distance_geometry_4_4=low;distance_geometry_5_1=low;distance_geometry_5_2=medium;distance_geometry_5_3=low;distance_geometry_5_4=high;distance_geometry_5_5=high;angles_mean=high;angles_meanse=high;angles_quant_min=high;angles_quant_05=medium;angles_quant_10=low;angles_quant_25=low;angles_quant_median=low;angles_quant_75=high;angles_quant_90=high;angles_quant_95=high;angles_quant_max=medium;angles_range=medium;angles_sd=high;angles_vcoef=high;angles_mad=low;angles_iqr=high;angles_skew=low;angles_kurt=low;speed_mean=high;speed_meanse=high;speed_quant_min=low;speed_quant_05=low;speed_quant_10=low;speed_quant_25=low;speed_quant_median=high;speed_quant_75=high;speed_quant_90=high;speed_quant_95=high;speed_quant_max=high;speed_range=high;speed_sd=high;speed_vcoef=high;speed_mad=high;speed_iqr=high;speed_skew=high;speed_kurt=high;acceleration_mean=medium;acceleration_meanse=high;acceleration_quant_min=low;acceleration_quant_05=low;acceleration_quant_10=low;acceleration_quant_25=low;acceleration_quant_median=low;acceleration_quant_75=medium;acceleration_quant_90=high;acceleration_quant_95=high;acceleration_quant_max=high;acceleration_range=high;acceleration_sd=high;acceleration_vcoef=high;acceleration_mad=high;acceleration_iqr=high;acceleration_skew=high;acceleration_kurt=high;duration_total_seconds=medium;sampling_gap_mean_seconds=medium;sampling_gap_sd_seconds=low;sampling_gap_iqr_seconds=low;sampling_gap_cv=low;speed_mean_first_half=medium;speed_mean_second_half=high;speed_mean_half_diff=high;acceleration_mean_first_half=high;acceleration_mean_second_half=low;acceleration_mean_half_diff=low;bbox_lat_span_deg=high;bbox_lon_span_deg=high;bbox_height_m=high;bbox_width_m=high;bbox_diagonal_m=high;bbox_area_km2=high;path_length_m=high;net_displacement_m=low;directness_ratio=low;mean_distance_to_centroid_m=high;median_distance_to_centroid_m=high;max_distance_to_centroid_m=high;radius_of_gyration_m=high;speed_progress_slope=high;acceleration_progress_slope=low;angle_progress_slope=medium;relative_grid_unique_cells_3x3=low;relative_grid_entropy_3x3=low;relative_transition_entropy_3x3=low;relative_grid_revisit_ratio_3x3=high
774,distance_geometry_1_1=high;distance_geometry_2_1=low;distance_geometry_2_2=low;distance_geometry_3_1=low;distance_geometry_3_2=low;distance_geometry_3_3=low;distance_geometry_4_1=medium;distance_geometry_4_2=low;distance_geometry_4_3=medium;distance_geometry_4_4=medium;distance_geometry_5_1=low;distance_geometry_5_2=high;distance_geometry_5_3=high;distance_geometry_5_4=high;distance_geometry_5_5=high;angles_mean=high;angles_meanse=medium;angles_quant_min=high;angles_quant_05=high;angles_quant_10=high;angles_quant_25=high;angles_quant_median=high;angles_quant_75=medium;angles_quant_90=high;angles_quant_95=medium;angles_quant_max=high;angles_range=medium;angles_sd=medium;angles_vcoef=low;angles_mad=high;angles_iqr=medium;angles_skew=low;angles_kurt=low;speed_mean=low;speed_meanse=low;speed_quant_min=low;speed_quant_05=low;speed_quant_10=low;speed_quant_25=low;speed_quant_median=low;speed_quant_75=low;speed_quant_90=low;speed_quant_95=low;speed_quant_max=medium;speed_range=medium;speed_sd=low;speed_vcoef=high;speed_mad=low;speed_iqr=low;speed_skew=medium;speed_kurt=medium;acceleration_mean=high;acceleration_meanse=low;acceleration_quant_min=medium;acceleration_quant_05=high;acceleration_quant_10=high;acceleration_quant_25=high;acceleration_quant_median=medium;acceleration_quant_75=low;acceleration_quant_90=low;acceleration_quant_95=low;acceleration_quant_max=medium;acceleration_range=medium;acceleration_sd=low;acceleration_vcoef=low;acceleration_mad=low;acceleration_iqr=low;acceleration_skew=medium;acceleration_kurt=high;duration_total_seconds=low;sampling_gap_mean_seconds=low;sampling_gap_sd_seconds=medium;sampling_gap_iqr_seconds=medium;sampling_gap_cv=medium;speed_mean_first_half=low;speed_mean_second_half=low;speed_mean_half_diff=medium;acceleration_mean_first_half=low;acceleration_mean_second_half=high;acceleration_mean_half_diff=high;bbox_lat_span_deg=low;bbox_lon_span_deg=low;bbox_height_m=low;bbox_width_m=low;bbox_diagonal_m=low;bbox_area_km2=low;path_length_m=low;net_displacement_m=medium;directness_ratio=high;mean_distance_to_centroid_m=low;median_distance_to_centroid_m=low;max_distance_to_centroid_m=low;radius_of_gyration_m=low;speed_progress_slope=high;acceleration_progress_slope=high;angle_progress_slope=high;relative_grid_unique_cells_3x3=high;relative_grid_entropy_3x3=high;relative_transition_entropy_3x3=high;relative_grid_revisit_ratio_3x3=low
775,distance_geometry_1_1=high;distance_geometry_2_1=medium;distance_geometry_2_2=medium;distance_geometry_3_1=medium;distance_geometry_3_2=medium;distance_geometry_3_3=high;distance_geometry_4_1=medium;distance_geometry_4_2=medium;distance_geometry_4_3=medium;distance_geometry_4_4=high;distance_geometry_5_1=medium;distance_geometry_5_2=high;distance_geometry_5_3=high;distance_geometry_5_4=medium;distance_geometry_5_5=medium;angles_mean=medium;angles_meanse=low;angles_quant_min=high;angles_quant_05=high;angles_quant_10=high;angles_quant_25=high;angles_quant_median=high;angles_quant_75=low;angles_quant_90=low;angles_quant_95=low;angles_quant_max=medium;angles_range=low;angles_sd=low;angles_vcoef=low;angles_mad=high;angles_iqr=low;angles_skew=medium;angles_kurt=high;speed_mean=low;speed_meanse=low;speed_quant_min=high;speed_quant_05=medium;speed_quant_10=medium;speed_quant_25=medium;speed_quant_median=low;speed_quant_75=low;speed_quant_90=low;speed_quant_95=low;speed_quant_max=low;speed_range=low;speed_sd=low;speed_vcoef=low;speed_mad=low;speed_iqr=low;speed_skew=medium;speed_kurt=medium;acceleration_mean=medium;acceleration_meanse=low;acceleration_quant_min=high;acceleration_quant_05=high;acceleration_quant_10=high;acceleration_quant_25=high;acceleration_quant_median=high;acceleration_quant_75=low;acceleration_quant_90=low;acceleration_quant_95=low;acceleration_quant_max=low;acceleration_range=low;acceleration_sd=low;acceleration_vcoef=medium;acceleration_mad=low;acceleration_iqr=low;acceleration_skew=medium;acceleration_kurt=low;duration_total_seconds=low;sampling_gap_mean_seconds=low;sampling_gap_sd_seconds=high;sampling_gap_iqr_seconds=medium;sampling_gap_cv=high;speed_mean_first_half=low;speed_mean_second_half=low;speed_mean_half_diff=medium;acceleration_mean_first_half=low;acceleration_mean_second_half=medium;acceleration_mean_half_diff=high;bbox_lat_span_deg=low;bbox_lon_span_deg=low;bbox_height_m=low;bbox_width_m=low;bbox_diagonal_m=low;bbox_area_km2=low;path_length_m=low;net_displacement_m=medium;directness_ratio=high;mean_distance_to_centroid_m=low;median_distance_to_centroid_m=low;max_distance_to_centroid_m=low;radius_of_gyration_m=low;speed_progress_slope=medium;acceleration_progress_slope=high;angle_progress_slope=medium;relative_grid_unique_cells_3x3=high;relative_grid_entropy_3x3=high;relative_transition_entropy_3x3=high;relative_grid_revisit_ratio_3x3=low
